City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,prince albert,53.2001,-105.7677,-1.0299999999999727,86,100,6.69,CA,1707158008
289,fort bragg,35.139,-79.006,14.550000000000011,39,20,5.66,US,1707158009
290,cooma,-36.2333,149.1333,16.02000000000004,98,100,1.26,AU,1707158009
291,keflavik,64.0049,-22.5624,-5.0499999999999545,79,40,12.35,IS,1707158009
292,soroti,1.7146,33.6111,24.140000000000043,52,12,1.99,UG,1707158009
293,lashkar gah,31.5938,64.3716,8.950000000000045,24,0,3.79,AF,1707158009
294,berdigestyakh,62.0989,126.6992,-37.97999999999999,100,69,0.79,RU,1707158010
295,west island,-12.1568,96.8225,27.99000000000001,83,75,3.09,CC,1707158010
296,mahina,-17.5065,-149.489,24.870000000000005,94,100,7.2,PF,1707158010
297,reggane,26.7158,0.1714,18.620000000000005,18,41,4.2,DZ,1707158010
298,general pinedo,-27.3167,-61.2833,42.22000000000003,17,95,6.64,AR,1707158010
299,moshi,-3.35,37.3333,23.32000000000005,63,3,2.87,TZ,1707158010
300,san patricio,28.017,-97.5169,19.970000000000027,54,70,7.97,US,1707158011
301,majene,-3.5403,118.9707,25.180000000000007,85,100,1.39,ID,1707158011
302,bandrele,-12.9067,45.1914,27.860000000000014,83,0,1.54,YT,1707158011
303,shimoda,34.6667,138.95,5.060000000000002,87,100,7.34,JP,1707158011
304,kerman,30.2832,57.0788,3.920000000000016,19,0,2.06,IR,1707158011
305,san antonio de pale,-1.4014,5.6325,27.57000000000005,76,67,2.0,GQ,1707158012
306,santa ana de yacuma,-13.75,-65.4333,31.970000000000027,62,75,0.0,BO,1707158012
307,tottori,35.5,134.2333,5.520000000000039,79,100,5.1,JP,1707158012
308,whitehorse,60.7161,-135.0538,-21.569999999999965,77,75,2.57,CA,1707158012
309,filadelfia,39.9523,-75.1638,9.050000000000011,44,20,3.6,US,1707157862
310,pisco,-13.7,-76.2167,27.03000000000003,65,0,5.66,PE,1707158012
311,enewetak,11.3474,162.3373,26.32000000000005,75,99,9.52,MH,1707158012
312,kannabecho-yahiro,34.5333,133.3833,3.7700000000000387,88,99,2.09,JP,1707158013
313,quelimane,-17.8786,36.8883,25.670000000000016,82,0,1.94,MZ,1707158013
314,sidi ifni,29.3797,-10.173,22.860000000000014,54,8,4.55,MA,1707158013
315,tofol,5.3248,163.0078,27.82000000000005,66,100,7.54,FM,1707158013
316,mangrol,21.1167,70.1167,22.620000000000005,80,5,4.4,IN,1707158014
317,uige,-7.6087,15.0613,19.910000000000025,95,100,0.5,AO,1707158014
